Pattern_ID,Pattern_Name,Input_Features,Required_Features,Supporting_Features,Exclusion_Features,Cognitive_Profile,Clinical_Interpretation,Possible_AD_Stage,Evidence_Source,Evidence_Reference,Evidence_Level,Rule_Applicability,Rule_Output_Category,Rule_Priority,Rule_Precedence,Triggered_Feature_Count,Functional_Threshold,Rule_Conflict_Group,Chinese_Pattern_Name,Chinese_Cognitive_Profile,Chinese_Clinical_Interpretation,Chinese_Possible_AD_Stage
AD_PATTERN_001,Typical_memory_predominant_MCI_pattern,memory_impairment; functional_decline,memory_impairment = 1; functional_decline <= 1,recent memory decline; repetitive questioning; objective delayed recall abnormality,early behavioral_change = 1 with memory_impairment = 0; acute onset; prominent fluctuation,Memory predominant,Possible pattern consistent with early Alzheimer disease related cognitive impairment when progressive and objectively confirmed.,MCI due to AD,NIA-AA 2011; DSM-5 Neurocognitive Disorder Criteria,Albert MS. The diagnosis of mild cognitive impairment due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):270-279. DOI: 10.1016/j.jalz.2011.03.008. https://pubmed.ncbi.nlm.nih.gov/21514249/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Possible AD-related pattern,High,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,4,functional_decline <= 1,Group_1_AD_typical_patterns,典型记忆主导型阿尔茨海默病相关轻度认知障碍模式,记忆功能为主导的认知损害模式,该表现可作为AD相关临床模式的可能线索，阶段提示为阿尔茨海默病相关轻度认知障碍，不代表已经形成临床诊断。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_002,Subjective_memory_complaint_pattern,memory_impairment; functional_decline,memory_impairment = 1; functional_decline = 0,subjective decline; preserved independence; longitudinal change,objective multidomain impairment; functional_decline >= 2; acute delirium-like onset,Memory complaint without functional loss,Suggestive of a presentation requiring objective assessment; not sufficient for AD dementia.,Subjective cognitive decline,NIA-AA Research Framework 2018,Jack CR. NIA-AA Research Framework: Toward a biological definition of Alzheimer's disease. Alzheimer's & Dementia. 2018;14(4):535-562. DOI: 10.1016/j.jalz.2018.02.018. https://pubmed.ncbi.nlm.nih.gov/29653606/,High: NIA-AA guideline / DSM-5 / Large cohort,Initial cognitive complaint,Suggestive of AD-related impairment,Medium,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,4,functional_decline = 0,Group_5_SCD_MCI_boundary_patterns,主观记忆下降模式,无明显功能受损的记忆主诉模式,该表现提示可能存在AD相关认知损害线索，阶段提示为主观认知下降，建议进一步完成客观认知和功能评估。,主观认知下降
AD_PATTERN_003,Repetitive_questioning_memory_pattern,memory_impairment; behavioral_symptoms; functional_decline,memory_impairment = 1; functional_decline <= 1,caregiver reports repeated questions; recent memory decline,obsessive-compulsive repetitive behavior without memory decline; acute anxiety state,Memory predominant with caregiver-observed repetition,Possible MCI due to AD or early dementia pattern depending on functional impact.,MCI due to AD,NIA-AA 2011; DSM-5 Neurocognitive Disorder Criteria,Borges MK. Early-Onset Alzheimer Disease (EOAD) With Aphasia: A Case Report. Frontiers in Psychiatry. 2018;9:469. DOI: 10.3389/fpsyt.2018.00469. https://pubmed.ncbi.nlm.nih.gov/30319468/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Possible AD-related pattern,Medium,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,5,functional_decline <= 1,Group_1_AD_typical_patterns,反复提问相关记忆损害模式,照护者观察到反复提问的记忆主导模式,该表现可作为AD相关临床模式的可能线索，阶段提示为阿尔茨海默病相关轻度认知障碍，不代表已经形成临床诊断。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_004,AD_dementia_IADL_pattern,memory_impairment; executive_dysfunction; functional_decline,memory_impairment = 1; functional_decline >= 2,"executive dysfunction; medication, finance, transport, cooking, or shopping difficulty",stepwise decline; focal neurologic signs; severe depression explaining function,Memory-executive impairment with IADL loss,Possible AD dementia pattern because cognitive symptoms affect independent instrumental activities.,Early AD dementia,NIA-AA 2011; DSM-5 Neurocognitive Disorder Criteria,Jansen WJ. Prevalence Estimates of Amyloid Abnormality Across the Alzheimer Disease Clinical Spectrum. JAMA Neurology. 2022;79(3):228-243. DOI: 10.1001/jamaneurol.2021.5216. https://pubmed.ncbi.nlm.nih.gov/35099509/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Possible AD-related pattern,High,higher than MCI_pattern when functional_decline >= 2,5,functional_decline >= 2,Group_1_AD_typical_patterns,认知下降伴工具性日常生活能力受损模式,记忆和执行功能受损并伴工具性日常生活能力下降,该表现可作为AD相关临床模式的可能线索，阶段提示为早期阿尔茨海默病痴呆阶段，不代表已经形成临床诊断。,早期阿尔茨海默病痴呆阶段
AD_PATTERN_005,Multidomain_cognitive_impairment_pattern,memory_impairment; executive_dysfunction; language_impairment; visuospatial_impairment; functional_decline,number_of_impaired_domains >= 2,"memory plus language, executive, or visuospatial involvement",acute onset; prominent fluctuation; major vascular pattern on imaging,Multi-domain cognitive impairment,Consistent with AD clinical syndrome when progressive; functional level determines MCI versus dementia-stage support.,MCI due to AD,NIA-AA 2011; DSM-5 Neurocognitive Disorder Criteria,McKhann GM. The diagnosis of dementia due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):263-269. DOI: 10.1016/j.jalz.2011.03.005. https://pubmed.ncbi.nlm.nih.gov/21514250/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Possible AD-related pattern,High,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,6,functional status should be reviewed; no fixed threshold,Group_1_AD_typical_patterns,多认知域受损模式,多认知域受损模式,该表现可作为AD相关临床模式的可能线索，阶段提示为阿尔茨海默病相关轻度认知障碍，不代表已经形成临床诊断。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_006,Multidomain_AD_dementia_pattern,memory_impairment; executive_dysfunction; language_impairment; visuospatial_impairment; functional_decline,number_of_impaired_domains >= 2; functional_decline >= 2,IADL impairment; progressive decline; multiple cognitive domains,non-cognitive physical disability causing IADL loss; delirium; medication effect,Multi-domain cognitive impairment with functional decline,Possible AD dementia pattern; not a confirmed diagnosis without clinical evaluation and differential assessment.,Early AD dementia,NIA-AA 2011; DSM-5 Neurocognitive Disorder Criteria,Jansen WJ. Prevalence Estimates of Amyloid Abnormality Across the Alzheimer Disease Clinical Spectrum. JAMA Neurology. 2022;79(3):228-243. DOI: 10.1001/jamaneurol.2021.5216. https://pubmed.ncbi.nlm.nih.gov/35099509/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Consider alternative diagnosis,High,higher than MCI_pattern when number_of_impaired_domains >= 2 and functional_decline >= 2,7,functional_decline >= 2,Group_1_AD_typical_patterns,多认知域受损伴日常生活能力下降模式,多认知域受损并伴功能下降,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,早期阿尔茨海默病痴呆阶段
AD_PATTERN_007,Executive_function_AD_pattern,executive_dysfunction; memory_impairment; functional_decline,executive_dysfunction = 1; functional_decline <= 2,planning difficulty; problem solving impairment; financial errors,early disinhibition with preserved memory; vascular executive syndrome,Executive-memory pattern,Suggestive of AD-compatible multidomain impairment when memory decline is also present; vascular and FTD differentials remain important.,MCI due to AD,DSM-5 Neurocognitive Disorder Criteria; NIA-AA 2011,Galvin JE. The AD8: a brief informant interview to detect dementia. Neurology. 2005;65(4):559-564. DOI: 10.1212/01.wnl.0000172958.95282.2a. https://pubmed.ncbi.nlm.nih.gov/16116116/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Consider alternative diagnosis,Medium,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,5,functional status should be reviewed; no fixed threshold,Group_6_low_support_patterns,执行功能受损相关认知模式,执行功能和记忆功能共同受损模式,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_008,Language_predominant_atypical_AD_pattern,language_impairment; memory_impairment; functional_decline,language_impairment = 1,word finding difficulty; anomia; reduced verbal fluency,primary progressive aphasia without AD-compatible memory or biomarker support,Language predominant,"Suggestive of atypical AD-compatible presentation, especially logopenic pattern; requires frontotemporal differential assessment.",MCI due to AD,International Working Group Criteria; NIA-AA 2011,Dubois B. Research criteria for the diagnosis of Alzheimer's disease: revising the NINCDS-ADRDA criteria. The Lancet Neurology. 2007;6(8):734-746. DOI: 10.1016/S1474-4422(07)70178-3. https://pubmed.ncbi.nlm.nih.gov/17616482/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Consider alternative diagnosis,Medium,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,5,functional status should be reviewed; no fixed threshold,Group_2_language_FTD_differential_patterns,语言主导型非典型AD相关模式,语言功能为主导的认知损害模式,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_009,Logopenic_language_pattern,language_impairment; functional_decline,language_impairment = 1; functional_decline <= 2,word-finding difficulty; sentence repetition impairment,stroke aphasia; non-AD primary progressive aphasia phenotype,Language predominant,Consistent with a language-led syndrome that can be associated with AD pathology; not diagnostic by itself.,Early AD dementia,International Working Group Criteria; NIA-AA 2011,Dubois B. Research criteria for the diagnosis of Alzheimer's disease: revising the NINCDS-ADRDA criteria. The Lancet Neurology. 2007;6(8):734-746. DOI: 10.1016/S1474-4422(07)70178-3. https://pubmed.ncbi.nlm.nih.gov/17616482/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Consistent with AD clinical syndrome,Medium,higher than typical memory pattern when logopenic language features dominate,4,functional status should be reviewed; no fixed threshold,Group_2_language_FTD_differential_patterns,类似logopenic型语言障碍模式,语言功能为主导的认知损害模式,该临床表现模式与AD相关临床综合征相符合，阶段提示为早期阿尔茨海默病痴呆阶段，仍需结合完整病史、体格检查和辅助检查综合评估。,早期阿尔茨海默病痴呆阶段
AD_PATTERN_010,Visuospatial_navigation_pattern,visuospatial_impairment; functional_decline,visuospatial_impairment = 1,navigation difficulty; getting lost; spatial judgment impairment,primary visual disorder; vestibular disorder; Lewy body pattern,Visuospatial/navigation predominant,Suggestive of AD-relevant visuospatial network involvement when progressive; safety and differential assessment are required.,MCI due to AD,International Working Group Criteria; NIA-AA 2011,Tetewsky SJ. Visual loss and getting lost in Alzheimer's disease. Neurology. 1999;52(5):958-965. DOI: 10.1212/wnl.52.5.958. https://pubmed.ncbi.nlm.nih.gov/10102412/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Consider alternative diagnosis,Medium,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,4,functional status should be reviewed; no fixed threshold,Group_3_visuospatial_DLB_PCA_differential_patterns,视觉空间和导航障碍模式,视觉空间和导航功能为主导的受损模式,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_011,Posterior_cortical_AD_pattern,visuospatial_impairment; language_impairment; functional_decline,visuospatial_impairment = 1; memory_impairment may be 0 or 1,early visuoperceptual impairment; posterior cortical atrophy phenotype,ophthalmologic disease; Lewy body hallucination/fluctuation pattern,Visuospatial/posterior cortical predominant,"Consistent with posterior cortical atrophy pattern, which is often associated with AD pathology.",Early AD dementia,International Working Group Criteria; NIA-AA 2011,Tetewsky SJ. Visual loss and getting lost in Alzheimer's disease. Neurology. 1999;52(5):958-965. DOI: 10.1212/wnl.52.5.958. https://pubmed.ncbi.nlm.nih.gov/10102412/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Consistent with AD clinical syndrome,Medium,higher than typical memory pattern when visuospatial/posterior cortical features dominate,5,functional status should be reviewed; no fixed threshold,Group_3_visuospatial_DLB_PCA_differential_patterns,后皮质视觉空间主导型模式,视觉空间或后皮质功能为主导的受损模式,该临床表现模式与AD相关临床综合征相符合，阶段提示为早期阿尔茨海默病痴呆阶段，仍需结合完整病史、体格检查和辅助检查综合评估。,早期阿尔茨海默病痴呆阶段
AD_PATTERN_012,Behavior_with_cognitive_decline_pattern,behavioral_symptoms; memory_impairment; executive_dysfunction; functional_decline,behavioral_symptoms = 1; at least one cognitive domain impaired,apathy; agitation; personality change,behavioral symptoms without objective cognitive impairment; primary psychiatric disorder,Behavioral symptoms with cognitive impairment,Possible AD-associated behavioral syndrome when cognitive decline is present; behavioral symptoms alone should not be treated as AD pattern.,MCI due to AD,DSM-5 Neurocognitive Disorder Criteria; NIA-AA 2011,Cummings JL. The Neuropsychiatric Inventory: comprehensive assessment of psychopathology in dementia. Neurology. 1994;44(12):2308-2314. DOI: 10.1212/wnl.44.12.2308. https://pubmed.ncbi.nlm.nih.gov/7991117/,High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Possible AD-related pattern,Medium,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,6,functional status should be reviewed; no fixed threshold,Group_4_non_typical_or_differential_patterns,行为症状伴认知下降模式,行为和精神症状伴认知损害模式,该表现可作为AD相关临床模式的可能线索，阶段提示为阿尔茨海默病相关轻度认知障碍，不代表已经形成临床诊断。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_013,Psychosis_in_dementia_differential_pattern,behavioral_symptoms; attention_impairment; functional_decline,behavioral_symptoms = 1; functional_decline >= 1,delusions; hallucinations; attention symptoms,acute psychosis; delirium; early hallucination/fluctuation suggesting DLB,Behavioral/psychosis context,Suggestive of dementia-stage behavioral involvement but should trigger Lewy body dementia and delirium differential review.,Moderate AD dementia,DSM-5 Neurocognitive Disorder Criteria,Cummings JL. The Neuropsychiatric Inventory: comprehensive assessment of psychopathology in dementia. Neurology. 1994;44(12):2308-2314. DOI: 10.1212/wnl.44.12.2308. https://pubmed.ncbi.nlm.nih.gov/7991117/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Consider alternative diagnosis,Low,higher than AD typical pattern for differential review when hallucination/delusion pattern is present,5,functional status should be reviewed; no fixed threshold,Group_4_non_typical_or_differential_patterns,痴呆相关精神病性症状鉴别模式,行为或精神病性症状相关模式,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,中度阿尔茨海默病痴呆阶段
AD_PATTERN_014,Attention_multidomain_pattern,attention_impairment; memory_impairment; functional_decline,attention_impairment = 1; memory_impairment = 1,reduced attention; visual attention impairment,acute attention disturbance; delirium; medication effect,Attention plus memory pattern,"Possible multidomain cognitive impairment; attention symptoms require careful exclusion of delirium, medication effects, and Lewy body disease.",MCI due to AD,DSM-5 Neurocognitive Disorder Criteria,"Dickerson BC. The Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Related Disorders (DETeCD-ADRD): Executive summary of recommendations for specialty care. Alzheimer's & Dementia. 2025;21(1):e14337. DOI: 10.1002/alz.14337. https://pubmed.ncbi.nlm.nih.gov/39713957/",High: NIA-AA guideline / DSM-5 / Large cohort,MCI evaluation,Possible AD-related pattern,Low,lower than dementia-stage rules; higher than no-strong-pattern rule when required features are met,5,functional status should be reviewed; no fixed threshold,Group_4_non_typical_or_differential_patterns,注意功能受损相关多认知域模式,注意功能和记忆功能共同受损模式,该表现可作为AD相关临床模式的可能线索，阶段提示为阿尔茨海默病相关轻度认知障碍，不代表已经形成临床诊断。,阿尔茨海默病相关轻度认知障碍
AD_PATTERN_015,Basic_ADL_advanced_dementia_pattern,memory_impairment; functional_decline,functional_decline = 3,basic ADL impairment; loss of independence; multidomain decline,"basic ADL loss due to stroke, frailty, parkinsonism, or non-cognitive disability",Global cognitive-functional impairment,Consistent with advanced dementia-stage functional impact when cognitive decline is established.,Advanced AD dementia,NIA-AA 2011; DSM-5 Neurocognitive Disorder Criteria,Jansen WJ. Prevalence Estimates of Amyloid Abnormality Across the Alzheimer Disease Clinical Spectrum. JAMA Neurology. 2022;79(3):228-243. DOI: 10.1001/jamaneurol.2021.5216. https://pubmed.ncbi.nlm.nih.gov/35099509/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Consistent with AD clinical syndrome,High,highest when functional_decline = 3; overrides MCI and mild dementia stage prompts,4,functional_decline = 3,Group_1_AD_typical_patterns,基本日常生活能力受损的进展期模式,广泛认知和功能受损模式,该临床表现模式与AD相关临床综合征相符合，阶段提示为进展期阿尔茨海默病痴呆阶段，仍需结合完整病史、体格检查和辅助检查综合评估。,进展期阿尔茨海默病痴呆阶段
AD_PATTERN_016,Functional_decline_without_memory_pattern,executive_dysfunction; visuospatial_impairment; functional_decline,functional_decline >= 2; memory_impairment = 0,IADL loss with non-memory dominant deficits,memory_impairment = 0 with early severe behavioral/language syndrome suggesting FTD,Non-amnestic functional impairment,Suggestive of a non-amnestic dementia syndrome; AD is possible but differential diagnosis should be emphasized.,Early AD dementia,DSM-5 Neurocognitive Disorder Criteria; International Working Group Criteria,Jansen WJ. Prevalence Estimates of Amyloid Abnormality Across the Alzheimer Disease Clinical Spectrum. JAMA Neurology. 2022;79(3):228-243. DOI: 10.1001/jamaneurol.2021.5216. https://pubmed.ncbi.nlm.nih.gov/35099509/,High: NIA-AA guideline / DSM-5 / Large cohort,Dementia evaluation,Consider alternative diagnosis,Low,higher than AD typical pattern for differential review when functional loss occurs without memory impairment,4,functional_decline >= 2,Group_4_non_typical_or_differential_patterns,非遗忘型功能下降模式,非遗忘型功能受损模式,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,早期阿尔茨海默病痴呆阶段
AD_PATTERN_017,No_strong_AD_pattern,memory_impairment; executive_dysfunction; language_impairment; visuospatial_impairment; functional_decline,all cognitive feature variables = 0; functional_decline = 0,no clear cognitive-domain feature,none; this rule is a low-support pattern flag,No strong AD clinical pattern,No strong AD pattern from structured symptom variables; clinical follow-up depends on history and clinician judgment.,Subjective cognitive decline,Clinical decision support rule; DSM-5 Neurocognitive Disorder Criteria,McKhann GM. The diagnosis of dementia due to Alzheimer's disease: recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease. Alzheimer's & Dementia. 2011;7(3):263-269. DOI: 10.1016/j.jalz.2011.03.005. https://pubmed.ncbi.nlm.nih.gov/21514250/,High: NIA-AA guideline / DSM-5 / Large cohort,Initial cognitive complaint,Consider alternative diagnosis,Low,lowest; applies only when no stronger cognitive or functional pattern is triggered,6,functional_decline = 0,Group_6_low_support_patterns,未形成强AD相关临床模式,未见强AD相关结构化模式,该表现模式提示需要优先关注鉴别诊断方向；当前结构化特征不足以支持典型AD相关模式，应结合红旗特征进一步评估。,主观认知下降
